,fecha,titulo,descripcion
58,12 de agosto de 2019 00:00,Implicado en robo aseguró que Vanessa era cómplice,"

Seis PPL fallecieron por amotinamiento en cárcel de Quevedo

La Policía llegó a la cárcel para retomar el control, mientras los familiares de los PPL también se..."
59,30 de julio de 2019 12:00,Hacker roba datos de 106 millones de clientes del banco Capital One,"

El veneno de una serpiente impide la multiplicación del virus Sars-Cov-2

Investigadores de la Universidad Estatal Paulista de Brasil realizaron el estudio con una especie ve..."
60,19 de julio de 2019 12:59,Asaltante amenazó a cajera con foto de su casa y se llevó $6.000,"

Seis PPL fallecieron por amotinamiento en cárcel de Quevedo

La Policía llegó a la cárcel para retomar el control, mientras los familiares de los PPL también se..."
61,11 de julio de 2019 20:51,"Kenig, investigado por robo de carros en Argentina, habla de difamación","

Seis PPL fallecieron por amotinamiento en cárcel de Quevedo

La Policía llegó a la cárcel para retomar el control, mientras los familiares de los PPL también se..."
62,10 de julio de 2019 16:30,Comerciantes de la plaza San Francisco son víctimas de robos,"Tres robos ocurridos en la plazoleta de San Francisco, en el centro de Cuenca, se suman a una serie de hurtos sucedidos en las últimas semanas en la capital azuaya."
63,05 de julio de 2019 22:10,Policía desarticula banda dedicada al asalto y robo de automotores,"En posesión de los criminales se hallaron dos vehículos reportados como robados, un vehículo en el que se movilizaban y un arma de fuego."
64,21 de junio de 2019 10:00,Detenido dijo que se llevó bicicleta de vigilante por confusión,"

Seis PPL fallecieron por amotinamiento en cárcel de Quevedo

La Policía llegó a la cárcel para retomar el control, mientras los familiares de los PPL también se..."
65,21 de junio de 2019 09:51,Por un celular condenan a un hombre a 18 meses de cárcel en Ambato,"

Seis PPL fallecieron por amotinamiento en cárcel de Quevedo

La Policía llegó a la cárcel para retomar el control, mientras los familiares de los PPL también se..."
66,08 de mayo de 2019 18:12,Guardia fallece por herida de bala en robo de una camaronera,"

Seis PPL fallecieron por amotinamiento en cárcel de Quevedo

La Policía llegó a la cárcel para retomar el control, mientras los familiares de los PPL también se..."
67,21 de abril de 2019 10:13,Pertenencias de Salvador Allende fueron robadas en Chile,"

El veneno de una serpiente impide la multiplicación del virus Sars-Cov-2

Investigadores de la Universidad Estatal Paulista de Brasil realizaron el estudio con una especie ve..."
68,08 de abril de 2019 12:15,Parque inclusivo de Riobamba fue objeto de vandalismo y robo,"A 10 días de haberse inaugurado el parque inclusivo en Riobamba, las autoridades reportaron que vándalos dañaron los juegos e incluso se sustrajeron el asiento diseñado exclusivamente para una persona con más del 80% de discapacidad."
69,04 de abril de 2019 00:00,En 77 días roban 86.165 celulares a nivel nacional,Treinta minutos es el tiempo promedio que tardan técnicos en centros clandestinos para liberar un teléfono móvil que ha sido bloqueado por robo o pérdida.
70,25 de marzo de 2019 08:30,Cuatro personas fueron detenidas por robar en locales de centro comercial,"

Seis PPL fallecieron por amotinamiento en cárcel de Quevedo

La Policía llegó a la cárcel para retomar el control, mientras los familiares de los PPL también se..."
71,23 de marzo de 2019 18:14,Detenidos en España dos ancianos que atracaban bancos,"

El veneno de una serpiente impide la multiplicación del virus Sars-Cov-2

Investigadores de la Universidad Estatal Paulista de Brasil realizaron el estudio con una especie ve..."
72,18 de marzo de 2019 19:37,Hombre asesina de un tiro a vecino por supuesto robo de ropa interior,"

Seis PPL fallecieron por amotinamiento en cárcel de Quevedo

La Policía llegó a la cárcel para retomar el control, mientras los familiares de los PPL también se..."
73,21 de febrero de 2019 13:38,Policía detiene a cuatro personas por robo en consulado de Venezuela,"

Seis PPL fallecieron por amotinamiento en cárcel de Quevedo

La Policía llegó a la cárcel para retomar el control, mientras los familiares de los PPL también se..."
74,20 de febrero de 2019 20:42,Asaltan en consulado de Venezuela de Guayaquil,"

Seis PPL fallecieron por amotinamiento en cárcel de Quevedo

La Policía llegó a la cárcel para retomar el control, mientras los familiares de los PPL también se..."
75,15 de febrero de 2019 10:00,Operativos dejan varios detenidos por robo y extorsión,"

Seis PPL fallecieron por amotinamiento en cárcel de Quevedo

La Policía llegó a la cárcel para retomar el control, mientras los familiares de los PPL también se..."
76,09 de febrero de 2019 17:00,Delincuentes roban dinero de cajero automático recién habilitado,"

Seis PPL fallecieron por amotinamiento en cárcel de Quevedo

La Policía llegó a la cárcel para retomar el control, mientras los familiares de los PPL también se..."
77,08 de febrero de 2019 00:00,2.408 denuncias de robo se receptan durante 2019,"Según la Policía Judicial (PJ), entre enero y febrero se detuvo a 132 personas por este delito. En Quito, ciudadanos demandan seguridad en las zonas turísticas y en las principales vías del país."
78,30 de enero de 2019 11:16,Detenidos 16 vinculados a robo de entidad bancaria en Manta,"

Seis PPL fallecieron por amotinamiento en cárcel de Quevedo

La Policía llegó a la cárcel para retomar el control, mientras los familiares de los PPL también se..."
79,27 de diciembre de 2018 14:08,Las FF.AA. detectan tubería para robar combustible estatal,"

Seis PPL fallecieron por amotinamiento en cárcel de Quevedo

La Policía llegó a la cárcel para retomar el control, mientras los familiares de los PPL también se..."
80,26 de diciembre de 2018 13:34,Reina de Quito denunció el robo de su celular,"

Seis PPL fallecieron por amotinamiento en cárcel de Quevedo

La Policía llegó a la cárcel para retomar el control, mientras los familiares de los PPL también se..."
