,titulo,link
241,El robo de tapas de desagües causa un perjuicio de $ 25 mil,/noticias/informacion-general/1/el-robo-de-tapas-de-desaguees-causa-un-perjuicio-de-25-mil
242,Hay 5 denuncias de robo en cerro Santa Ana al mes,/noticias/guayaquil/2/hay-5-denuncias-de-robo-en-cerro-santa-ana-al-mes
243,Adolescente implicado en robo,/noticias/judicial/12/adolescente-implicado-en-robo
244,Cuatro menores expulsados del entrenamiento de Colombia por intento de robo,/noticias/mundial-2014/7/cuatro-menores-expulsados-del-entrenamiento-de-colombia-por-intento-de-robo
245,Sospechoso de robo a turista fue aprehendido en terminal,/noticias/judicial/12/sospechoso-de-robo-a-turista-fue-aprehendido-en-terminal
246,"Justin Bieber, acusado de intentar robarle un celular a una mujer ",/noticias/espectaculos/10/justin-bieber-acusado-de-intentar-robarle-un-celular-a-una-mujer
253,240 mil móviles reportados por robo fueron bloqueados (INFOGRAFÍA),/noticias/economia/4/240-mil-moviles-reportados-por-robo-fueron-bloqueados-infografia
254,El museo Remigio Crespo Toral sufrió el robo de 12 piezas,/noticias/regional-sur/2/el-museo-remigio-crespo-toral-sufrio-el-robo-de-12-piezas-2
255,Robo en el Cabildo latacungueño,/noticias/regional-centro/2/robo-en-el-cabildo-latacungueno
256,La Policía detuvo a nueve personas acusadas de robo ,/noticias/regional-sur/2/la-policia-detuvo-a-nueve-personas-acusadas-de-robo
257,"El robo a personas, delito más cometido en Iñaquito",/noticias/judicial/12/el-robo-a-personas-delito-mas-cometido-en-inaquito
258,Las víctimas de la usura recuperarán sus bienes,/noticias/judicial/12/las-victimas-de-la-usura-recuperaran-sus-bienes
259,43 detenidos en operativo “Noche gris” contra la usura,/noticias/judicial/12/42-detenidos-en-operativo-noche-gris-contra-la-usura
260,El hurto durante tragedia se castiga como robo,/noticias/judicial/12/el-hurto-durante-tragedia-se-castiga-como-robo
261,Taxistas fueron heridos en supuestos intentos de robo,/noticias/judicial/12/taxistas-fueron-heridos-en-supuestos-intentos-de-robo
262,Trabas que podrían evitar el robo de un vehículo,/noticias/judicial/12/trabas-que-podrian-evitar-el-robo-de-un-vehiculo
269,Prisión para gendarme por robo,/noticias/judicial/12/prision-para-gendarme-por-robo
270,América Latina se une contra el robo de celulares,/noticias/judicial/12/america-latina-se-une-contra-el-robo-de-celulares
271,Celulares inteligentes se podrán destruir vía web en caso de robo,/noticias/judicial/12/celulares-inteligentes-se-podran-destruir-via-web-en-caso-de-robo
272,Acusan a policías paraguayos de apoderarse de $ 200.000,/noticias/judicial/12/acusan-a-policias-paraguayos-de-apoderarse-de-200-000
273,Tres detenidos por el asalto a una camaronera,/noticias/judicial/12/tres-detenidos-por-el-asalto-a-una-camaronera
274,Aseguradora ofrece recompensa para recuperar joyas robadas en Francia,/noticias/mundo/8/aseguradora-ofrece-recompensa-para-recuperar-joyas-robadas-en-francia
275,Tres detenidos por robos a personas y a un local,/noticias/informacion-general/1/tres-detenidos-por-robos-a-personas-y-a-un-local
276,El robo a domicilios sube en estadísticas,/noticias/regional-sur/2/el-robo-a-domicilios-sube-en-estadisticas
277,Tesorera fue plagiada para robar en cooperativa,/noticias/informacion-general/1/tesorera-fue-plagiada-para-robar-en-cooperativa
278,Vecinos de San Roque quieren erradicar las drogas y el robo,/noticias/quito/2/vecinos-de-san-roque-quieren-erradicar-las-drogas-y-el-robo
285,Policía capturado mientras robaba,/noticias/judicial/12/policia-capturado-mientras-robaba
286,"Tres personas, detenidas por robo en Simón Bolívar",/noticias/regional-centro/2/tres-personas-detenidas-por-robo-en-simon-bolivar
287,"Robo de elementos de la regeneración urbana, imparable en las calles",/noticias/guayaquil/2/robo-de-elementos-de-la-regeneracion-urbana-imparable-en-las-calles
288,Investigan el robo de fármacos,/noticias/judicial/12/investigan-el-robo-de-farmacos
