,fecha,titulo,descripcion
82,"enero 11, 2021","Un malandrín se escondió bajo un carro, pero no pudo escapar de la ley","El sospechoso y un compinche, implicados en un robo, fueron detenidos por la Policía. El asalto ocurrió en el suburbio de Guayaquil"
83,"diciembre 31, 2020",En Quito: ¡Se equivocaron de ‘choros’!,"Luego de un asalto al estilo sacapintas, la Policía detuvo a dos sospechosos, pero cuando la víctima los reconoció no eran ellos."
84,"diciembre 28, 2020",Le dieron de ‘baja’ en pleno atraco,"Un muerto, cinco capturados y dos heridos quedó como resultado del enfrentamiento a bala durante asalto en comisariato de Naranjal"
85,"diciembre 28, 2020",Un tiroteado en el norte de Quito por resistirse a asalto,La víctima quedó herida y 4 sospechosos del crimen fueron aprehendidos por la Policía
86,"diciembre 23, 2020","Dos delicuentes se accidentaron cuando escapaban, luego de un asalto","Los individuos, quienes habrían asaltado a los comensales de un restaurante, cayeron tras chocarse contra una camioneta, en el sur de Guayaquil"
87,"diciembre 23, 2020","Quito: intentaron quitarle el celular, pero debieron conformarse con la franela del auto",Un joven fue asaltado mientras trabajaba en un taxi de aplicación. Con una bujía le rompieron uno de los vidrios
88,"diciembre 10, 2020",Asesinaron a guardia detenido por asalto a blindado,Recibió puñaladas en una presunta reyerta en la cárcel de El Rodeo
89,"diciembre 08, 2020",Quito: ¡chisguetazo salvador contra los pillos!,"Vendedores se defendieron con el alcohol... cuando los sujetos les apuntaron con un arma, ellos rociaron el líquido en sus ojos y enseguida huyeron."
90,"diciembre 07, 2020",¡Delincuencia imparable en Quito!,En una carnicería se defendieron con un ambientador y en una casa de cambios aún investigan cómo los pillos entraron a robar.
91,"diciembre 04, 2020",‘Golpe’ navideño a blindado,Millonario asalto en centro de Manta. Dos motorizados intimadaron a los guardias y cometieron el delito
92,"diciembre 01, 2020",Quito: terminaron las andadas de dos pillos en taxi,"Luego de un asalto en Conocoto, la Policía buscó a los sospechosos y los aprehendió junto al vehículo amarillo. Hoy son investigdos por otros robos"
93,"noviembre 27, 2020",Asaltaron en vivo,Sujetos armados llegaron a programa musical y desvalijaron al público. Santa Rosa fue el escenario de la audacia delincuencial
94,"noviembre 27, 2020",Salvados de la ‘garrotiza’,"Pareja implicada en un intento de robo en La Kennedy, norte de Quito, fue confundida con la que la semana pasada asaltó una pizzería de la capital."
95,"noviembre 26, 2020",Quito: un taxista de aplicación fingió falta de combustible y su pasajero fue asaltado,"El joven usuario se movilizaba hacia Carcelén, en el norte de la capital, cuando sufrió el robo"
96,"noviembre 26, 2020",Un pillo y su moto quedaron aporreados al tratar de 'sacársela' después de un asalto,Un sujeto armado sufrió un accidente al tratar de escapar de la Policía. Su captura ocurrió en las calles del suburbio de Guayaquil
97,"noviembre 25, 2020","Con un palo trató de ahuyentar a dos 'choros' armados, en una panadería de Quito","El vecino trató de ayudar a la dependiente del negocio, mientras era agredida por dos asaltantes. El vídeo de la escena se viralizó"
98,"noviembre 24, 2020",Le roban el taxi y lo dejan tirado en la calle; luego les vino el karma,Dos sujetos amedrentaron a un conductor para que entregara su unidad. La Policía los persiguió hasta que chocaron
99,"noviembre 23, 2020","Otro violento robo en Quito, ahora con 'matachancho'",La cajera de un asadero de pollos fue víctima del brutal atraco en el norte de la ciudad
