,fecha,titulo,link,descripcion
37,2019-06-29,Gobierno analiza gravar impuesto a ‘Netflix’ y a ‘El Mercioco’,http://elmercioco.com/gobierno-analiza-gravar-impuesto-a-netflix-y-a-el-mercioco/,"EM. Noticias.- El Gobierno sigue analizando las medidas que se aplicarían como parte de las reformas tributarias que enviará a la Asamblea. En una entrevista en diario El Comercio, el viceministro de Finanzas, Fabián Carrillo, anunció la posibilidad de aplicar un impuesto por el uso de plataformas digitales para películas, series y diversión como Netflix, Spotify y Diario El Mercioco. Según el viceministro, la propuesta nace de la necesidad de formalizar este servicio. El funcionario dijo también que para estas reformas que se plantean reciben asesoramiento técnico de organismos internacionales, entre ellos, la Comisión Económica para América Latina y el Caribe (CEPAL)."
38,2019-06-28,La alcaldía de Riobamba se convierte en chongo de a $5 el palo,http://elmercioco.com/la-alcaldia-de-latacunga-se-convierte-en-chongo-de-a-5-el-palo/,"El alcalde de Riobamba junto a sus concejales han decidido convertir el edificio de la alcaldía en un chongo para el pueblo. El objetivo es obtener fondos para completar las obras de la ciudad puesto que ya no hay presupuesto. Según los ediles, este proyecto recaudará alrededor de 10 millones de dólares mensuales."
39,2019-06-24,Ecuatorianos piensan que el Bolillo perderá hasta el vuelo de regreso,http://elmercioco.com/ecuatorianos-piensan-que-el-bolillo-perdera-hasta-el-vuelo-de-regreso/,"De la vida real.- La Selección de Ecuador solo debe ganar a Japón para clasificar a cuartos de final de la Copa América Brasil-2019. Esta posibilidad se dio tras los resultados finales en el grupo B: Colombia derrotó 1-0 a Paraguay y Argentina venció 2-0 a Catar. Si gana Ecuador hace tres unidades y entraría como segundo mejor tercero sobre guaraníes y cataríes, que se quedaron con dos puntos y una unidad respectivamente."
40,2019-06-17,Ecuatorianos piden a los Bucaram que le “saquen la puta” al Bolillo para que se vaya de una vez,http://elmercioco.com/ecuatorianos-piden-a-los-bucaram-que-le-saquen-la-puta-al-bolillo-para-que-se-vaya-de-una-vez/,"EM. Noticias.- En la jornada de este domingo, la Selección de Ecuador perdió 4-0 ante Uruguay, en un partido en el que los charrúas dominaron durante gran parte del compromiso.  Ante tal humillación por parte del Bolillo Gomez, los Ecuatorianos por medio de las redes sociales han llamado a la familia Bucaram para defender el nombre del Ecuador."
41,2019-06-11,Moreno afirma que la selección “Siempre vale tres atados de v….”,http://elmercioco.com/moreno-afirma-que-la-seleccion-siempre-vale-tres-atados-de-v/,"EM. Noticias.- Por las semifinales del Mundial sub 20, Ecuador perdió el duelo contra Corea del Sur, en un intenso duelo táctico, que mantuvo a ambos conjuntos buscando controlar el partido.  Al minuto de finalizar el partido, el mandatario Lenin Moreno afirmó en su cuenta de twitter que Wakanda (refiriendose a los jugadores negros de Ecuador), siempre valen tres atados de v…a. En declaraciones pasadas Moreno insistió en que el Ecuador nunca gana medallas."
42,2019-06-08,Moreno anuncia que eliminará el impuesto a la cocada por la victoria de la Mini Tri,http://elmercioco.com/moreno-anuncia-que-eliminara-el-impuesto-a-la-cocada-por-la-victoria-de-la-mini-tri/,"EM. Noticias.- Ecuador venció 2-1 a Estados Unidos en el partido por cuartos de final del Mundial Sub 20 de Polonia 2019 y consiguió una histórica clasificación a semifinales.  Ante esta heroica hazaña de los seleccionados sub20, Lenin Moreno afirmó que como apoyo al futbol nacional, eliminará el impuesto a la cocada."
43,2019-06-08,Once humildes ecuatorianos le cierran el hocico a Lenin Moreno,http://elmercioco.com/once-humildes-ecuatorianos-le-cierran-el-hocico-a-lenin-moreno/,"Noticia Real.- Con goles de José Cifuentes y Jhon Espinoza, la selección ecuatoriana se impuso 2-1 a los norteamericanos (empaté parcial de Timothy Weah) y se clasificó a las semifinales del Mundial de Polonia 2019. Hace un mes Lenin Moreno dijo que “no apoya al deporte ecuatoriano porque nosotros nunca ganamos nada mientras que los estadounidenses siempre ganan todo”."
44,2019-06-03,Invasores de la ciclovía festejan con orgullo el triunfo de Carapaz,http://elmercioco.com/invasores-de-la-ciclovia-festejan-con-orgullo-el-triunfo-de-carapaz/,"De la vida real.- El ciclista ecuatoriano Richard Carapaz ganó el Giro de Italia, luego de 21 intensos días y 90 horas de carrera. Es el segundo latinoamericano en lograr esta distinción, y el primer ecuatoriano en alcanzar este hito del deporte mundial.  Miles de conductores que putean a los ciclistas, y que invaden las ciclovías, felicitaron a Carapaz por las redes sociales y se sintieron orgullosos de que Carapaz sea Ecuatoriano."
45,2019-05-31,Alexis Mera rompe record Guinness en su primera hora en la cárcel,http://elmercioco.com/alexis-mera-rompe-record-guinness-en-su-primera-hora-en-la-carcel/,"APS. Noticias.- Alexis Mera, exsecretario jurídico de la Presidencia durante el periodo de Rafael Correa, fue detenido en Guayaquil la mañana de este viernes 31 de mayo del 2019, por el caso ‘Arroz con Chancho’ y fue enviado a la cárcel de Esmeraldas .  Según la fiscalía, el mismo acusado habría solicitado ser encarcelado en Esmeraldas."
46,2019-05-24,AU-D será el nuevo ministro de Economía y Finanzas del Ecuador,http://elmercioco.com/au-d-sera-el-nuevo-ministro-de-economia-y-finanzas-del-ecuador/,"EM. Noticias.– Después de que fuentes desde el Palacio de Carondelet confirmaran que Juan Fernando Velasco será el nuevo ministro de Cultura, un nuevo ministerio cambiará de titular. Se trata del Ministerio de Economía y Finanzas cuya administración pasará a manos de Martín Galarza conocido como AU-D. El músico reemplazará a Richard Martinez, quien se ha desempeñado en el cargo desde el 24 de mayo de 2017. El presidente del Ecuador Lenin Moreno ha manifestado que no habrá mucha diferencia en el cargo, ya que Martinez y Galarza tienen las mismas competencias y características."
